"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Roanoke City Public Schools, Virginia",91206,19879,6392,544,553,1507,1148,1337,1028,275,13487,71327,14312,797,951,3141,2633,2763,3084,943,57015,88569,18763,4445,3543,328,154,156,264,14318,12427,888,247,350,406,69806,9361,8735,360,196,0,70,60445,56015,2332,1151,622,325,38145,42962,29959,55563,28914,NA,26377,36467,43282,26861,38145,24133,49525,50770,53857,59447,43817,43718,38145,30487,41200,41700,30029,50560,56922,36017,38145,50560,25704,43426,43689,30417,48879,55647,34652,56125,33333,NA,26634,47115,57060,25965,48879,48022,48653,51600,56656,50260,43077,48879,26156,35377,65764,77596,48879,38765,53499,48879,64103,67921,62637,30049,41418,30857,52869,27304,20370,35852,23295,27803,15408,17032,14792,46805,13930,8950,28620,12901,42494,8348,4863,3485,34146,3547,30599,44301,26256,18045,35748,22780,12968,4070,1669,2401,1387,333,1054,1121,434,687,692,257,435,1283,783,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21245,21191,4258,2808,1222,3555,3328,3019,3001,54,21183,1861,1801,658,1143,60,19322,19276,9575,571,9130,46,42494,23116,13770,9346,1754,7592,19378,16485,2893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67687,12318,5381,3921,959,260,137,104,6937,6293,275,50,182,137,20198,12132,11513,328,168,80,43,8066,7829,140,42,28,27,19197,13085,12103,525,178,137,142,6112,5964,31,56,61,0,15974,12134,11245,275,329,186,99,3840,3484,140,173,43,0,23271,15731,3172,953,2219,155,12404,7540,3751797300,2560538500,1191258800,23271,15731,3042,5583,2899,2285,1543,379,7540,1426,2409,1436,1139,932,198,1407,1388,1453,23271,15731,5384,10347,7540,2191,5349,95004,25097,18847,5937,15605,6250,27636,22908,15732,10476,4728,19952,17120,14472,4727,2832,10869,9702,9010,1660,1167,11450,10557,10015,1632,893,97355,93629,63724,26749,267,1876,129,884,3726,194,3532,3343,1975,614,168,236,350,351,32
"Roanoke County Public Schools, Virginia",88158,5809,1829,60,85,286,424,415,496,63,3980,82349,19750,1272,863,4097,4763,4659,3213,883,62599,86305,5622,1082,805,94,127,0,56,4540,3755,341,353,16,75,80683,14192,13372,308,260,246,6,66491,62351,1347,1625,896,272,60795,61667,41056,NA,81500,NA,52250,21583,61749,43686,60795,33155,65874,77203,94128,85321,90250,116339,60795,31461,73301,73544,42127,70909,79217,52917,60795,70909,35184,62875,46806,32188,75860,76583,46625,NA,87841,NA,52250,22000,76506,70764,75860,66008,76521,92231,89722,88409,120596,75860,44853,57068,89193,111612,75860,79865,73742,75860,84245,92572,78287,45223,53154,60679,39076,42426,33187,51250,31728,32432,24011,25747,36276,NA,34339,12314,32590,21238,37928,2027,931,1096,35901,1641,34260,44661,35502,9159,39327,31199,8128,3001,2444,557,143,96,47,344,121,223,399,315,84,1447,1327,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19924,19912,2706,1867,895,3185,3603,3921,3735,12,19857,660,616,387,229,44,19197,19197,14815,1156,3226,0,37928,25859,20683,5176,1477,3699,12069,10592,1477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66116,6035,2426,2113,166,47,98,2,3609,3338,74,141,39,17,17619,10152,9681,203,141,91,36,7467,7319,74,47,17,10,20579,13795,13113,354,241,68,19,6784,6489,94,111,35,55,21883,16627,14813,346,937,330,201,5256,4745,100,259,145,7,29098,19649,4748,960,3788,273,14628,9449,6720291400,4426935200,2293356200,29098,19649,1319,5272,4484,4849,3531,194,9449,851,1954,2677,2376,1433,158,1848,1850,1844,29098,19649,7161,12488,9449,2855,6594,90642,9475,7903,4236,5958,1572,17848,15599,12149,7239,2249,18352,17169,15464,4584,1183,16983,16314,15384,3020,669,27984,27139,26352,3054,845,92824,91302,83326,5250,64,2461,0,201,1522,314,1208,1480,403,325,356,13,383,42,0
"Rockbridge County Public Schools, Virginia",21435,2685,838,51,0,163,239,63,307,15,1847,18750,3138,294,133,862,606,835,308,100,15612,21102,2606,469,449,20,0,0,0,2137,2035,58,26,17,1,18496,2576,2481,21,13,61,0,15920,15333,298,225,64,0,48313,48906,18935,NA,NA,NA,31875,47946,48763,62731,48313,24961,53198,62734,60170,71250,35962,31952,48313,35417,53245,54235,36064,54895,64147,43595,48313,54895,30281,61111,61750,103750,59165,59134,33889,NA,NA,NA,NA,78152,59022,63241,59165,56782,62222,60568,74063,31673,NA,59165,34073,41875,68198,81566,59165,58497,59640,59165,64777,68694,64097,36215,37292,39432,36146,35139,11936,39397,25638,26311,13199,44151,18518,NA,10921,13456,26379,11145,9234,914,384,530,8320,736,7584,9752,7539,2213,8181,6379,1802,976,646,330,17,17,0,44,40,4,112,78,34,422,379,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4147,4098,715,333,297,634,659,714,746,49,4098,153,153,108,45,0,3945,3945,3288,204,453,0,9234,6291,5166,1125,417,708,2943,2564,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16492,2573,781,750,30,0,0,1,1792,1780,12,0,0,0,6320,3890,3810,36,12,32,0,2430,2393,10,27,0,0,3776,2272,2224,20,14,14,0,1504,1418,52,34,0,0,3823,2337,2168,69,82,18,0,1486,1324,80,82,0,0,6761,3574,922,216,706,28,2624,3187,1533680700,936881500,596799200,6761,3574,926,1353,559,369,296,71,3187,1314,1015,240,270,256,92,1091,1196,964,6761,3574,1398,2176,3187,1048,2139,22132,3571,2512,1414,1900,1059,6326,4971,3872,2527,1355,5182,4736,4228,1175,446,3148,3002,2860,604,146,3905,3768,3527,855,137,22345,21999,21019,593,63,159,38,127,346,37,309,346,121,180,0,8,37,0,0
"Rockingham County Public Schools, Virginia",72755,7391,2311,58,177,417,712,582,336,29,5080,65364,14865,1157,623,3401,3570,3428,2006,680,50499,70711,6937,1867,1438,265,140,0,24,5070,4397,363,235,46,29,63774,11399,9934,1009,452,4,0,52375,48942,2112,1192,81,48,52195,52304,68214,NA,32283,NA,31952,44898,52941,41713,52195,26624,56462,61009,68681,71373,66146,99219,52195,39643,56391,61769,34934,59388,67714,42306,52195,59388,34417,58021,45515,33262,60869,61012,70094,NA,71719,NA,32171,58167,61652,41376,60869,54731,61179,68531,70810,66146,97273,60869,33428,44712,71492,91771,60869,60083,61419,60869,65080,68009,63743,38328,50427,47917,53347,33866,24191,44868,27298,27959,19099,10465,26355,NA,11388,7710,28677,11875,29440,1984,916,1068,27456,2061,25395,36332,29269,7063,29816,24258,5558,3145,2387,758,198,160,38,981,615,366,378,314,64,1814,1535,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17974,17974,2501,2076,1033,3010,2977,3212,3165,0,17974,808,671,330,341,137,17166,17121,14000,495,2626,45,29440,21052,17100,3952,1018,2934,8388,6969,1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51873,9998,4757,3879,763,105,10,0,5241,5090,101,50,0,0,19169,13090,12299,449,278,31,33,6079,5947,50,74,8,0,10568,7550,7071,281,179,19,0,3018,2933,81,4,0,0,12138,8800,8254,111,417,0,18,3338,3133,49,92,50,14,22603,13611,3019,687,2332,158,10434,8992,5053669800,3324907700,1728762000,22603,13611,3722,5875,2066,1086,673,189,8992,2681,3622,1115,675,355,544,1097,1117,1066,22603,13611,5190,8421,8992,2823,6169,75196,11161,8486,4271,6163,2675,18709,15273,11946,6436,3436,16947,14793,13220,3476,2154,11095,10219,9819,1230,876,17284,15475,14675,2259,1809,76885,75825,73030,1212,209,521,11,842,1060,75,985,938,399,298,113,42,86,122,0
"Russell County Public Schools, Virginia",27407,5279,1201,92,122,149,294,394,150,0,4078,22128,4308,286,222,946,1115,864,787,88,17820,26811,5127,953,953,0,0,0,0,4174,4168,6,0,0,0,21684,3123,3100,0,0,23,0,18561,18375,83,48,55,0,33872,33811,34813,NA,NA,NA,NA,NA,33811,NA,33872,15282,36359,52058,55196,54215,84896,NA,33872,29000,45694,39454,22495,38583,52717,32685,33872,38583,15788,27928,18835,17578,43459,43491,34688,NA,NA,NA,NA,NA,43491,NA,43459,35344,51764,54474,53534,86473,NA,43459,24789,39939,72318,79821,43459,48390,42533,43459,50811,56576,46904,27195,29093,28808,40111,24629,15375,29770,19735,19843,17817,17678,30383,NA,30170,4605,19846,31723,11191,2167,1301,866,9024,1030,7994,10438,8720,1718,9031,7639,1392,1065,822,243,6,6,0,95,81,14,80,24,56,161,148,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5706,5699,965,596,246,1065,968,849,1010,7,5691,426,367,94,273,59,5265,5255,4065,447,743,10,11191,7684,5984,1700,569,1131,3507,3118,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20747,5254,933,904,29,0,0,0,4321,4305,8,8,0,0,7696,3927,3917,1,0,9,0,3769,3769,0,0,0,0,5617,3426,3423,3,0,0,0,2191,2177,5,9,0,0,2180,1750,1684,11,33,22,0,430,395,11,0,24,0,8750,3381,396,179,217,11,2974,5369,1079477800,486727500,592750300,8750,3381,2330,721,74,113,54,89,5369,3632,822,173,73,101,568,509,564,471,8750,3381,1494,1887,5369,1530,3839,28264,7765,5939,2249,5095,1826,7886,6359,4128,3789,1527,5780,5261,4512,1470,519,3844,3710,3520,589,134,2989,2811,2581,329,178,28646,28393,27813,391,32,75,0,82,253,43,210,253,99,111,0,0,43,0,0
"Salem City Public Schools, Virginia",22418,2586,951,30,31,103,106,187,448,46,1635,19832,4809,415,226,918,977,1036,998,239,15023,21861,2479,367,367,0,0,0,0,2112,1957,64,73,18,0,19382,3275,2990,230,44,11,0,16107,15273,342,358,69,65,48733,50687,31354,NA,35625,NA,NA,104044,50785,61277,48733,27102,53226,70041,64342,69464,110640,NA,48733,14875,53599,53307,40598,57160,71286,45779,48733,57160,35495,44135,69432,33182,60742,63511,40714,NA,36375,NA,NA,NA,63778,60745,60742,54187,71578,66538,69286,110145,NA,60742,50865,42472,75199,117222,60742,56154,63475,60742,70744,72276,69691,40234,49331,49099,58000,38288,33044,43200,26661,27828,18424,NA,15370,NA,16496,19429,28173,12747,9908,955,454,501,8953,817,8136,11160,7499,3661,9329,6504,2825,883,418,465,140,62,78,254,101,153,136,103,33,418,311,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4964,4877,657,569,353,651,896,794,957,87,4877,320,309,30,279,11,4557,4557,3328,346,883,0,9908,6226,4666,1560,409,1151,3682,2936,746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16623,1844,713,559,136,6,12,0,1131,1086,0,30,15,0,4979,2730,2559,138,33,0,0,2249,2243,0,0,6,0,4675,3285,3138,45,87,15,0,1390,1367,0,18,0,5,5125,3684,3452,34,113,27,58,1441,1352,0,82,0,7,6599,4051,1113,256,857,47,2891,2548,1304909700,896089400,408820300,6599,4051,194,1312,740,883,870,52,2548,264,707,559,457,344,217,1765,1833,1674,6599,4051,1528,2523,2548,911,1637,23014,3718,2811,1712,1749,907,5919,4909,3563,2417,1010,5109,4641,4371,1326,468,2617,2541,2436,423,76,5651,5595,5429,538,56,24950,24741,22040,1948,0,449,0,304,209,14,195,193,70,49,45,15,14,16,0
"Scott County Public Schools, Virginia",21912,3985,996,90,95,221,246,209,130,5,2989,17927,3050,247,284,670,670,569,511,99,14877,21353,3798,838,831,7,0,0,0,2960,2919,35,0,4,2,17555,2405,2365,0,9,31,0,15150,14988,101,7,54,0,38355,38199,90365,NA,NA,NA,NA,70064,38084,83707,38355,17928,43144,57803,66086,62759,21667,59583,38355,47241,46132,46779,24232,43236,63291,36550,38355,43236,18069,28750,28512,30417,47067,46700,90573,NA,NA,NA,NA,70833,46967,NA,47067,42483,56406,71065,44719,21012,79250,47067,25155,40252,71351,89526,47067,48368,46553,47067,54146,68403,49453,25943,33448,36250,32974,22453,12137,35000,21485,21544,23948,NA,21212,NA,NA,11369,21588,17503,9692,1430,882,548,8262,839,7423,8576,7198,1378,7242,6083,1159,949,748,201,14,0,14,72,68,4,57,57,0,242,242,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4393,4393,551,576,324,803,740,610,789,0,4361,285,261,138,123,24,4076,4073,3240,85,748,3,9692,6876,5481,1395,406,989,2816,2598,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16852,4237,1164,1125,24,0,15,0,3073,3055,18,0,0,0,6503,3162,3155,7,0,0,0,3341,3314,0,0,27,0,4270,2664,2636,10,0,16,2,1606,1567,25,14,0,0,1842,1387,1387,0,0,0,0,455,443,12,0,0,0,7461,2945,254,30,224,6,2685,4516,858306300,405097400,453208900,7461,2945,1518,1027,173,68,66,93,4516,3017,982,47,107,64,299,637,762,565,7461,2945,1308,1637,4516,1237,3279,22449,6225,4984,1765,4465,1241,6162,5167,3865,3022,995,4464,4163,3888,874,301,2936,2751,2587,301,185,2662,2620,2401,443,42,22940,22779,22558,130,0,89,0,2,161,0,161,153,46,107,0,0,0,8,0
"Shenandoah County Public Schools, Virginia",40449,4714,1497,34,141,329,395,400,157,41,3217,35735,7274,317,456,1910,1503,1635,1070,383,28461,39430,4562,1287,1026,261,0,0,0,3275,2846,374,49,0,6,34868,5392,4853,349,17,119,54,29476,27744,1286,249,189,8,49625,50112,39176,72500,59745,NA,36607,37222,50786,34286,49625,26416,55048,56802,73074,60590,86167,91375,49625,26830,54444,57429,36429,60642,70966,41775,49625,60642,30291,65048,41700,27750,57422,57727,47805,72500,137639,NA,36607,41000,60069,33750,57422,54533,55042,73125,54327,80500,100139,57422,33534,40988,75630,81536,57422,51771,61872,57422,67703,71842,66483,32055,38409,32360,53444,29790,25945,37266,25134,25478,18156,34030,51577,NA,13098,10308,26299,10340,17397,1701,832,869,15696,1096,14600,19346,13818,5528,16109,11521,4588,2131,1415,716,56,56,0,249,142,107,126,84,42,675,600,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9180,9179,1379,1058,507,1712,1300,1621,1602,1,9166,633,581,217,364,52,8533,8468,6301,758,1409,65,17397,12209,9463,2746,1080,1666,5188,4400,788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29998,4621,1941,1526,407,0,8,0,2680,2599,81,0,0,0,11816,7418,7129,228,46,9,6,4398,4284,78,36,0,0,7607,5215,4923,236,56,0,0,2392,2185,170,24,13,0,5954,3760,3452,120,55,125,8,2194,2030,52,67,45,0,12259,7572,2083,389,1694,24,5465,4687,2891746200,1777263500,1114482700,12259,7572,2223,3733,833,533,176,74,4687,1541,1998,604,248,164,132,1054,1054,1055,12259,7572,2551,5021,4687,1401,3286,41757,7819,6120,3167,4508,1699,10333,8161,6312,3575,2172,9074,8216,7603,2139,858,6015,5784,5367,1126,231,8516,8028,7732,1307,488,42270,41548,39975,881,44,271,9,368,722,144,578,624,208,200,72,0,144,98,0
"Smyth County Public Schools, Virginia",30211,5362,1574,165,119,267,461,253,300,9,3788,24849,4900,150,244,913,1084,1359,945,205,19949,29549,4998,1219,1209,10,0,0,0,3779,3666,105,0,0,8,24551,3474,3439,19,6,10,0,21077,20651,301,88,37,0,37239,37688,28000,NA,43472,NA,NA,22019,37692,43375,37239,18375,42894,51715,60644,52143,35486,53068,37239,23542,38652,46210,27016,44134,53386,34494,37239,44134,23533,49244,47891,46250,46776,47388,29536,NA,43472,NA,NA,NA,47412,44167,46776,43154,52179,61500,49511,35903,48958,46776,24946,38584,67995,85233,46776,45423,47859,46776,52403,58523,49514,30288,38977,23333,46125,27565,17205,35743,20837,21159,10696,NA,13843,NA,NA,12846,21364,10114,12650,2079,1314,765,10571,846,9725,12895,9610,3285,11241,8560,2681,990,672,318,70,31,39,133,46,87,265,134,131,196,167,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6550,6549,1141,666,412,915,1081,1183,1151,1,6524,638,611,231,380,27,5886,5886,4148,347,1391,0,12650,8664,6450,2214,699,1515,3986,3469,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22845,4600,1156,1109,42,0,5,0,3444,3403,41,0,0,0,8907,4766,4670,88,8,0,0,4141,4099,33,0,9,0,5911,3891,3814,47,30,0,0,2020,1966,26,16,12,0,3427,2584,2538,29,9,8,0,843,797,24,19,3,0,8950,4331,595,92,503,41,3695,4619,967521900,497358300,470163600,8950,4331,2982,1053,68,89,42,97,4619,3170,956,197,147,21,128,588,606,567,8950,4331,1959,2372,4619,1622,2997,31177,8433,6702,2205,5791,1731,9309,7905,5624,4136,1404,6027,5499,4985,1251,528,4004,3870,3403,846,134,3404,3130,2913,502,274,31979,31615,30842,648,18,99,0,8,364,17,347,334,138,125,43,0,28,9,21
"Southampton County Public Schools, Virginia",16670,2589,849,35,26,182,244,212,144,6,1740,14081,3294,210,192,626,563,819,732,152,10787,16276,2525,600,600,0,0,0,0,1925,1924,0,0,0,1,13751,2214,2110,64,40,0,0,11537,11346,95,60,36,0,46150,57699,30512,95139,NA,NA,NA,33125,58010,18636,46150,23536,51759,62240,67865,54328,67500,90568,46150,42917,57136,46319,36130,58386,73424,40561,46150,58386,29060,37250,32500,38750,58038,64314,36997,95139,NA,NA,NA,34688,64621,14241,58038,52584,59299,72950,54123,76094,90568,58038,27000,40591,82250,91402,58038,58315,57937,58038,67696,80224,60567,31929,38125,30083,50500,31330,23317,39750,22433,26293,16706,45728,26066,NA,21948,6628,26584,9842,6708,1024,582,442,5684,462,5222,7862,5863,1999,6817,5158,1659,678,474,204,19,0,19,37,23,14,139,85,54,172,123,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3734,3734,511,396,181,657,671,609,709,0,3734,223,223,71,152,0,3511,3511,2456,192,863,0,6708,4770,3460,1310,219,1091,1938,1663,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13276,2927,1044,1024,0,0,20,0,1883,1883,0,0,0,0,4531,2581,2558,12,0,11,0,1950,1911,21,6,0,12,4008,2769,2735,4,30,0,0,1239,1226,6,5,0,2,1810,1381,1333,28,19,0,1,429,422,0,7,0,0,4815,2843,441,163,278,37,2365,1972,806718800,533653500,273065300,4815,2843,1024,865,446,347,142,19,1972,1008,584,127,106,67,80,975,1113,745,4815,2843,786,2057,1972,555,1417,16841,3410,2831,1091,2121,579,3927,2981,2251,1370,946,3577,2924,2507,1005,653,2413,2242,1934,535,171,3514,3275,3097,572,239,18444,18061,11192,6736,57,32,0,44,383,17,366,324,217,49,13,14,31,59,0
"Spotsylvania County Public Schools, Virginia",118889,8840,2831,257,308,644,699,549,339,35,6009,110049,31426,1847,1503,6866,6921,7528,5400,1361,78623,115579,8408,2248,1972,234,42,0,0,6160,5218,685,57,117,83,107171,23030,21009,1209,447,343,22,84141,76363,4503,1826,1239,210,78345,81882,66395,58940,78310,35878,58456,86964,81510,72547,78345,42250,77500,92070,100012,89246,112569,99183,78345,49344,80136,92662,50469,90321,97175,55735,78345,90321,48844,72610,71622,38047,87374,92224,69158,59755,78177,NA,56726,81550,91668,73947,87374,75024,91460,98177,89721,102697,91629,87374,40816,62061,100520,130473,87374,85083,90939,87374,100993,103981,97846,44812,53161,51580,54885,41030,34621,49548,31360,33761,26368,34425,31713,5956,16191,16011,34089,19948,41709,3321,1268,2053,38388,1732,36656,59361,47306,12055,46943,37506,9437,7171,5810,1361,1647,1394,253,352,174,178,742,370,372,2506,2052,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33688,33688,4736,3374,2043,5091,6483,5719,6242,0,33670,1896,1732,430,1302,164,31774,31669,24417,1672,5580,105,41709,32962,25640,7322,1874,5448,8747,7074,1673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79973,8730,4294,3330,739,94,131,0,4436,4030,315,15,76,0,25570,17420,15835,1150,250,149,36,8150,7345,388,228,161,28,23146,16811,15389,899,331,133,59,6335,5849,284,115,76,11,22527,17525,16009,560,491,381,84,5002,4577,116,152,130,27,32318,26176,6708,1844,4864,158,19310,6142,8747173700,7263766000,1483407700,32318,26176,2526,8069,5163,6424,3673,321,6142,1138,1430,1262,1021,926,365,1706,1726,1627,32318,26176,7124,19052,6142,1498,4644,123183,10495,7674,4130,5527,2821,18432,14422,11168,6014,4010,22688,19309,16751,4951,3379,18690,17154,16706,2209,1536,52878,49958,48328,5748,2920,124319,121511,93110,19556,344,3050,225,5226,2808,214,2594,2508,843,484,608,205,368,300,0
